File,Book,Chapter,ExpectedVerses,Overall,Check,Status,Value,Detail
ACT_017.wav,Acts,17,34,FAIL,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_017.wav,Acts,17,34,FAIL,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_017.wav,Acts,17,34,FAIL,Head Silence,PASS,2.02s,Expected 2.0s +/- 0.5s; measured 2.02s
ACT_017.wav,Acts,17,34,FAIL,Tail Silence,FAIL,2.63s,Expected 2.0s +/- 0.5s; measured 2.63s
ACT_017.wav,Acts,17,34,FAIL,Chapter Title,PASS,1,Present.
ACT_017.wav,Acts,17,34,FAIL,Verses,PASS,34/34,"All 34 verses present (Verse 1..34), no missing/extra/duplicates."
ACT_018.wav,Acts,18,28,FAIL,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_018.wav,Acts,18,28,FAIL,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_018.wav,Acts,18,28,FAIL,Head Silence,PASS,2.00s,Expected 2.0s +/- 0.5s; measured 2.00s
ACT_018.wav,Acts,18,28,FAIL,Tail Silence,FAIL,2.51s,Expected 2.0s +/- 0.5s; measured 2.51s
ACT_018.wav,Acts,18,28,FAIL,Chapter Title,PASS,1,Present.
ACT_018.wav,Acts,18,28,FAIL,Verses,PASS,28/28,"All 28 verses present (Verse 1..28), no missing/extra/duplicates."
ACT_019.wav,Acts,19,41,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_019.wav,Acts,19,41,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_019.wav,Acts,19,41,PASS,Head Silence,PASS,2.04s,Expected 2.0s +/- 0.5s; measured 2.04s
ACT_019.wav,Acts,19,41,PASS,Tail Silence,PASS,2.07s,Expected 2.0s +/- 0.5s; measured 2.07s
ACT_019.wav,Acts,19,41,PASS,Chapter Title,PASS,1,Present.
ACT_019.wav,Acts,19,41,PASS,Verses,PASS,41/41,"All 41 verses present (Verse 1..41), no missing/extra/duplicates."
ACT_020.wav,Acts,20,38,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_020.wav,Acts,20,38,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_020.wav,Acts,20,38,PASS,Head Silence,PASS,2.18s,Expected 2.0s +/- 0.5s; measured 2.18s
ACT_020.wav,Acts,20,38,PASS,Tail Silence,PASS,2.41s,Expected 2.0s +/- 0.5s; measured 2.41s
ACT_020.wav,Acts,20,38,PASS,Chapter Title,PASS,1,Present.
ACT_020.wav,Acts,20,38,PASS,Verses,PASS,38/38,"All 38 verses present (Verse 1..38), no missing/extra/duplicates."
ACT_021.wav,Acts,21,40,FAIL,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_021.wav,Acts,21,40,FAIL,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_021.wav,Acts,21,40,FAIL,Head Silence,PASS,2.08s,Expected 2.0s +/- 0.5s; measured 2.08s
ACT_021.wav,Acts,21,40,FAIL,Tail Silence,FAIL,2.65s,Expected 2.0s +/- 0.5s; measured 2.65s
ACT_021.wav,Acts,21,40,FAIL,Chapter Title,PASS,1,Present.
ACT_021.wav,Acts,21,40,FAIL,Verses,PASS,40/40,"All 40 verses present (Verse 1..40), no missing/extra/duplicates."
ACT_022.wav,Acts,22,30,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_022.wav,Acts,22,30,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_022.wav,Acts,22,30,PASS,Head Silence,PASS,2.00s,Expected 2.0s +/- 0.5s; measured 2.00s
ACT_022.wav,Acts,22,30,PASS,Tail Silence,PASS,2.23s,Expected 2.0s +/- 0.5s; measured 2.23s
ACT_022.wav,Acts,22,30,PASS,Chapter Title,PASS,1,Present.
ACT_022.wav,Acts,22,30,PASS,Verses,PASS,30/30,"All 30 verses present (Verse 1..30), no missing/extra/duplicates."
ACT_023.wav,Acts,23,35,FAIL,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
